id,name,type,power,accuracy,pp,damage_class,effect
310,astonish,ghost,30,100,15,physical,"Inflicts regular damage. Has a 30% chance to make the target flinch."
311,weather-ball,normal,50,100,10,special,"Inflicts regular damage. If a weather move is active, this move has double power, and its type becomes the type of the weather move. shadow sky is typeless for the purposes of this move."
312,aromatherapy,grass,,,5,status,"Removes major status effects and confusion from every Pokémon in the user's party."
313,fake-tears,dark,,100,20,status,"Lowers the target's Special Defense by two stages."
314,air-cutter,flying,60,95,25,special,"Inflicts regular damage. User's critical hit rate is one level higher when using this move."
315,overheat,fire,130,90,5,special,"Inflicts regular damage, then lowers the user's Special Attack by two stages."
316,odor-sleuth,normal,,,40,status,"Resets the target's evasion to normal and prevents any further boosting until the target leaves the field. A ghost under this effect takes normal damage from normal and fighting moves. This move itself ignores accuracy and evasion modifiers."
317,rock-tomb,rock,60,95,15,physical,"Inflicts regular damage. Has a 100% chance to lower the target's Speed by one stage."
318,silver-wind,bug,60,100,5,special,"Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage."
319,metal-sound,steel,,85,40,status,"Lowers the target's Special Defense by two stages."
320,grass-whistle,grass,,55,15,status,"Puts the target to sleep."
321,tickle,normal,,100,20,status,"Lowers the target's Attack and Defense by one stage."
322,cosmic-power,psychic,,,20,status,"Raises the user's Defense and Special Defense by one stage."
323,water-spout,water,150,100,5,special,"Inflicts regular damage. Power increases with the user's remaining HP and is given by `150 detectar_saltos.sh fetch_moves.sh pokemon_base_stats.csv pokemon_moves.csv updated_pokemon_base_stats.csv HP / max HP`, to a maximum of 150 when the user has full HP."
324,signal-beam,bug,75,100,15,special,"Inflicts regular damage. Has a 10% chance to confuse the target."
325,shadow-punch,ghost,60,,20,physical,"Inflicts regular damage. Ignores accuracy and evasion modifiers."
326,extrasensory,psychic,80,100,20,special,"Inflicts regular damage. Has a 10% chance to make the target flinch."
327,sky-uppercut,fighting,85,90,15,physical,"Inflicts regular damage. This move can hit Pokémon under the effect of bounce, fly, or sky drop."
328,sand-tomb,ground,35,85,15,physical,"Inflicts regular damage. For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn. The user continues to use other moves during this time. If the user leaves the field, this effect ends. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use. rapid spin cancels this effect."
329,sheer-cold,ice,,30,5,special,"Inflicts damage equal to the target's max HP. Ignores accuracy and evasion modifiers. This move's accuracy is 30% plus 1% for each level the user is higher than the target. If the user is a lower level than the target, this move will fail. Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting. The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target. However, they will not give this move a chance to break through detect or protect."
330,muddy-water,water,90,85,10,special,"Inflicts regular damage. Has a 30% chance to lower the target's accuracy by one stage."
331,bullet-seed,grass,25,100,30,physical,"Inflicts regular damage. Hits 2–5 times in one turn. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use."
332,aerial-ace,flying,60,,20,physical,"Inflicts regular damage. Ignores accuracy and evasion modifiers."
333,icicle-spear,ice,25,100,30,physical,"Inflicts regular damage. Hits 2–5 times in one turn. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use."
334,iron-defense,steel,,,15,status,"Raises the user's Defense by two stages."
335,block,normal,,,5,status,"The target cannot switch out normally. Ignores accuracy and evasion modifiers. This effect ends when the user leaves the field. The target may still escape by using baton pass, u turn, or a shed shell. Both the user and the target pass on this effect with baton pass."
336,howl,normal,,,40,status,"Raises the user's Attack by one stage."
337,dragon-claw,dragon,80,100,15,physical,"Inflicts regular damage."
338,frenzy-plant,grass,150,90,5,special,"Inflicts regular damage. User loses its next turn to "recharge", and cannot attack or switch out during that turn."
339,bulk-up,fighting,,,20,status,"Raises the user's Attack and Defense by one stage each."
340,bounce,flying,85,85,5,physical,"Inflicts regular damage. User bounces high into the air for one turn, becoming immune to attack, and hits on the second turn. Has a 30% chance to paralyze the target. During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, and twister still hit the user normally. gust and twister also have double power against the user. The damage from hail and sandstorm still applies during the immune turn. The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard. This move cannot be used while gravity is in effect. This move cannot be selected by sleep talk."
341,mud-shot,ground,55,95,15,special,"Inflicts regular damage. Has a 100% chance to lower the target's Speed by one stage."
342,poison-tail,poison,50,100,25,physical,"Inflicts regular damage. User's critical hit rate is one level higher when using this move. Has a 10% chance to poison the target."
343,covet,normal,60,100,25,physical,"Inflicts regular damage. If the target is holding an item and the user is not, the user will permanently take the item. Damage is still inflicted if an item cannot be taken. Pokémon with sticky hold or multitype are immune to the item theft effect. The target cannot recover its item with recycle. This move cannot be selected by assist or metronome."
344,volt-tackle,electric,120,100,15,physical,"Inflicts regular damage. User takes 1/3 the damage it inflicts in recoil. Has a 10% chance to paralyze the target."
345,magical-leaf,grass,60,,20,special,"Inflicts regular damage. Ignores accuracy and evasion modifiers."
346,water-sport,water,,,15,status,"fire moves inflict half damage, regardless of target. If the user leaves the field, this effect ends."
347,calm-mind,psychic,,,20,status,"Raises the user's Special Attack and Special Defense by one stage each."
348,leaf-blade,grass,90,100,15,physical,"Inflicts regular damage. User's critical hit rate is one level higher when using this move."
349,dragon-dance,dragon,,,20,status,"Raises the user's Attack and Speed by one stage each."
350,rock-blast,rock,25,90,10,physical,"Inflicts regular damage. Hits 2–5 times in one turn. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use."
351,shock-wave,electric,60,,20,special,"Inflicts regular damage. Ignores accuracy and evasion modifiers."
352,water-pulse,water,60,100,20,special,"Inflicts regular damage. Has a 20% chance to confuse the target."
353,doom-desire,steel,140,100,5,special,"Inflicts typeless regular damage at the end of the third turn, starting with this one. This move cannot score a critical hit. If the target switches out, its replacement will be hit instead. Damage is calculated at the time this move is used; stat changes and switching out during the delay won't change the damage inflicted. No move with this effect can be used against the same target again until after the end of the third turn. This effect breaks through wonder guard. If the target is protected by protect or detect on the turn this move is used, this move will fail. However, the damage on the third turn will break through protection. The damage is applied at the end of the turn, so it ignores endure and focus sash. This move cannot be copied by mirror move."
354,psycho-boost,psychic,140,90,5,special,"Inflicts regular damage, then lowers the user's Special Attack by two stages."
355,roost,flying,,,5,status,"Heals the user for half its max HP. If the user is flying, its flying type is ignored until the end of this turn."
356,gravity,psychic,,,5,status,"For five turns (including this one), all immunities to ground moves are disabled. For the duration of this effect, the evasion of every Pokémon on the field is lowered by two stages. Cancels the effects of bounce, fly, and sky drop. Specifically, flying Pokémon and those with levitate or that have used magnet rise are no longer immune to ground attacks, arena trap, spikes, or toxic spikes. bounce, fly, sky drop, high jump kick, jump kick, and splash cannot be used while this move is in effect. *Bug*: If this move is used during a double or triple battle while Pokémon are under the effect of sky drop, Sky Drop's effect is not correctly canceled on its target, and it remains high in the air indefinitely. As Sky Drop prevents the target from acting, the only way to subsequently remove it from the field is to faint it."
357,miracle-eye,psychic,,,40,status,"Resets the target's evasion to normal and prevents any further boosting until the target leaves the field. A dark Pokémon under this effect takes normal damage from psychic moves. This move itself ignores accuracy and evasion modifiers."
358,wake-up-slap,fighting,70,100,10,physical,"Inflicts regular damage. If the target is sleeping, this move has double power, and the target wakes up."
359,hammer-arm,fighting,100,90,10,physical,"Inflicts regular damage, then lowers the user's Speed by one stage."
360,gyro-ball,steel,,100,5,physical,"Inflicts regular damage. Power increases with the target's current Speed compared to the user, given by `1 + 25 detectar_saltos.sh fetch_moves.sh pokemon_base_stats.csv pokemon_moves.csv updated_pokemon_base_stats.csv target Speed / user Speed`, capped at 150."
361,healing-wish,psychic,,,10,status,"User faints. Its replacement's HP is fully restored, and any major status effect is removed. If the replacement Pokémon is immediately fainted by a switch-in effect, the next replacement is healed by this move instead."
362,brine,water,65,100,10,special,"Inflicts regular damage. If the target has less than half its max HP remaining, this move has double power."
363,natural-gift,normal,,100,15,physical,"Inflicts regular damage. Power and type are determined by the user's held berry. The berry is consumed. If the user is not holding a berry, this move will fail."
364,feint,normal,30,100,10,physical,"Inflicts regular damage. Removes the effects of detect or protect from the target before hitting. This move cannot be copied by mirror move, nor selected by assist or metronome."
365,pluck,flying,60,100,20,physical,"Inflicts regular damage. If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately. If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect. If this move is super effective and the target is holding a berry that can reduce this move's damage, it will do so, and will not be stolen."
366,tailwind,flying,,,15,status,"For the next three turns, all Pokémon on the user's side of the field have their original Speed doubled. This effect remains if the user leaves the field."
367,acupressure,normal,,,30,status,"Raises one of the target's stats by two stages. The raised stat is chosen at random from any stats that can be raised by two stages. If no stat is eligible, this move will fail. If the target has a substitute, this move will have no effect, even if the user is the target. This move cannot be copied by mirror move."
368,metal-burst,steel,,100,10,physical,"Targets the last opposing Pokémon to hit the user with a damaging move this turn. Inflicts 1.5× the damage that move did to the user. If there is no eligible target, this move will fail. Type immunity applies, but other type effects are ignored."
369,u-turn,bug,70,100,20,physical,"Inflicts regular damage, then the user immediately switches out, and the trainer selects a replacement Pokémon from the party. If the target faints from this attack, the user's trainer selects the new Pokémon to send out first. If the user is the last Pokémon in its party that can battle, it will not switch out. The user may be hit by pursuit when it switches out, if it has been targeted and pursuit has not yet been used. This move may be used even if the user is under the effect of ingrain. ingrain's effect will end."
370,close-combat,fighting,120,100,5,physical,"Inflicts regular damage, then lowers the user's Defense and Special Defense by one stage each."
371,payback,dark,50,100,10,physical,"Inflicts regular damage. If the target uses a move or switches out this turn before this move is used, this move has double power."
372,assurance,dark,60,100,10,physical,"Inflicts regular damage. If the target takes damage this turn for any reason before this move is used, this move has double power."
373,embargo,dark,,100,15,status,"Target cannot use its held item for five turns. If the target leaves the field, this effect ends. If a Pokémon under this effect uses bug bite or pluck on a Pokémon holding a berry, the berry is destroyed but not used. If a Pokémon under this effect uses fling, it will fail. This effect is passed by baton pass."
374,fling,dark,,100,10,physical,"Inflicts regular damage. Power and type are determined by the user's held item. The item is consumed. If the user is not holding an item, or its item has no set type and power, this move will fail. This move ignores sticky hold. If the user is under the effect of embargo, this move will fail."
375,psycho-shift,psychic,,100,10,status,"If the user has a major status effect and the target does not, the user's status is transferred to the target."
376,trump-card,normal,,,5,special,"Inflicts regular damage. Power is determined by the PP remaining for this move, after its PP cost is deducted. Ignores accuracy and evasion modifiers. PP remaining | Power ------------ | ----: 4 or more | 40 3 | 50 2 | 60 1 | 80 0 | 200 If this move is activated by another move, the activating move's PP is used to calculate power."
377,heal-block,psychic,,100,15,status,"For the next five turns, the target may not use any moves that only restore HP, and move effects that heal the target are disabled. Moves that steal HP may still be used, but will only inflict damage and not heal the target."
378,wring-out,normal,,100,5,special,"Inflicts regular damage. Power directly relates to the target's relative remaining HP, given by `1 + 120 detectar_saltos.sh fetch_moves.sh pokemon_base_stats.csv pokemon_moves.csv updated_pokemon_base_stats.csv current HP / max HP`, to a maximum of 121."
379,power-trick,psychic,,,10,status,"The user's original Attack and Defense are swapped. This effect is passed on by baton pass."
380,gastro-acid,poison,,100,10,status,"The target's ability is disabled as long as it remains on the field. This effect is passed on by baton pass."
381,lucky-chant,normal,,,30,status,"For five turns, opposing Pokémon cannot score critical hits."
382,me-first,normal,,,20,status,"If the target has selected a damaging move this turn, the user will copy that move and use it against the target, with a 50% increase in power. If the target moves before the user, this move will fail. This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
383,copycat,normal,,,20,status,"Uses the last move that was used successfully by any Pokémon, including the user. This move cannot copy itself, nor roar nor whirlwind. This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
384,power-swap,psychic,,,10,status,"User swaps its Attack and Special Attack stat modifiers modifiers with the target."
385,guard-swap,psychic,,,10,status,"User swaps its Defense and Special Defense modifiers with the target."
386,punishment,dark,,100,5,physical,"Inflicts regular damage. Power starts at 60 and is increased by 20 for every stage any of the target's stats has been raised, capping at 200. Accuracy and evasion modifiers do not increase this move's power."
387,last-resort,normal,140,100,5,physical,"Inflicts regular damage. This move can only be used if each of the user's other moves has been used at least once since the user entered the field. If this is the user's only move, this move will fail."
388,worry-seed,grass,,100,10,status,"Changes the target's ability to insomnia. If the target's ability is truant or multitype, this move will fail."
389,sucker-punch,dark,70,100,5,physical,"Inflicts regular damage. If the target has not selected a damaging move this turn, or if the target has already acted this turn, this move will fail. This move is not affected by iron fist."
390,toxic-spikes,poison,,,20,status,"Scatters poisoned spikes around the opposing field, which poison opposing Pokémon that enter the field. A second layer of these spikes may be laid down, in which case Pokémon will be badly poisoned instead. Pokémon immune to either ground moves or being poisoned are immune to this effect. Pokémon otherwise immune to ground moves are affected during gravity. If a poison Pokémon not immune to ground moves enters a field covered with poisoned spikes, the spikes are removed. rapid spin will remove this effect from its user's side of the field. defog will remove this effect from its target's side of the field. This move does not trigger synchronize, unless the Pokémon with synchronize was forced to enter the field by another effect such as roar. Pokémon entering the field due to baton pass are not affected by this effect."
391,heart-swap,psychic,,,10,status,"User swaps its stat modifiers with the target."
392,aqua-ring,water,,,20,status,"Restores 1/16 of the user's max HP at the end of each turn. If the user leaves the field, this effect ends. This effect is passed on by baton pass."
393,magnet-rise,electric,,,10,status,"For five turns, the user is immune to ground moves. If the user is under the effect of ingrain or has levitate, this move will fail. This effect is temporarily disabled by and cannot be used during gravity. This effect is passed on by baton pass."
394,flare-blitz,fire,120,100,15,physical,"Inflicts regular damage. User takes 1/3 the damage it inflicts in recoil. Has a 10% chance to burn the target. Frozen Pokémon may use this move, in which case they will thaw."
395,force-palm,fighting,60,100,10,physical,"Inflicts regular damage. Has a 30% chance to paralyze the target."
396,aura-sphere,fighting,80,,20,special,"Inflicts regular damage. Ignores accuracy and evasion modifiers."
397,rock-polish,rock,,,20,status,"Raises the user's Speed by two stages."
398,poison-jab,poison,80,100,20,physical,"Inflicts regular damage. Has a 30% chance to poison the target."
399,dark-pulse,dark,80,100,15,special,"Inflicts regular damage. Has a 20% chance to make the target flinch."
400,night-slash,dark,70,100,15,physical,"Inflicts regular damage. User's critical hit rate is one level higher when using this move."
401,aqua-tail,water,90,90,10,physical,"Inflicts regular damage."
402,seed-bomb,grass,80,100,15,physical,"Inflicts regular damage."
403,air-slash,flying,75,95,15,special,"Inflicts regular damage. Has a 30% chance to make the target flinch."
404,x-scissor,bug,80,100,15,physical,"Inflicts regular damage."
405,bug-buzz,bug,90,100,10,special,"Inflicts regular damage. Has a 10% chance to lower the target's Special Defense by one stage."
406,dragon-pulse,dragon,85,100,10,special,"Inflicts regular damage."
407,dragon-rush,dragon,100,75,10,physical,"Inflicts regular damage. Has a 20% chance to make the target flinch."
408,power-gem,rock,80,100,20,special,"Inflicts regular damage."
409,drain-punch,fighting,75,100,10,physical,"Inflicts regular damage. Drains half the damage inflicted to heal the user."
410,vacuum-wave,fighting,40,100,30,special,"Inflicts regular damage."
411,focus-blast,fighting,120,70,5,special,"Inflicts regular damage. Has a 10% chance to lower the target's Special Defense by one stage."
412,energy-ball,grass,90,100,10,special,"Inflicts regular damage. Has a 10% chance to lower the target's Special Defense by one stage."
413,brave-bird,flying,120,100,15,physical,"Inflicts regular damage. User takes 1/3 the damage it inflicts in recoil."
414,earth-power,ground,90,100,10,special,"Inflicts regular damage. Has a 10% chance to lower the target's Special Defense by one stage."
415,switcheroo,dark,,100,10,status,"User and target permanently swap held items. Works even if one of the Pokémon isn't holding anything. If either Pokémon is holding mail, this move will fail. If either Pokémon has multitype or sticky hold, this move will fail. If this move results in a Pokémon obtaining choice band, choice scarf, or choice specs, and that Pokémon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move. This applies even if both Pokémon had a choice item before this move was used. If the first of the two Pokémon gains a choice item, it may select whatever choice move it wishes next turn. Neither the user nor the target can recover its item with recycle. This move cannot be selected by assist or metronome."
416,giga-impact,normal,150,90,5,physical,"Inflicts regular damage. User loses its next turn to "recharge", and cannot attack or switch out during that turn."
417,nasty-plot,dark,,,20,status,"Raises the user's Special Attack by two stages."
418,bullet-punch,steel,40,100,30,physical,"Inflicts regular damage."
419,avalanche,ice,60,100,10,physical,"Inflicts regular damage. If the target damaged the user this turn and was the last to do so, this move has double power. pain split does not count as damaging the user."
420,ice-shard,ice,40,100,30,physical,"Inflicts regular damage."
421,shadow-claw,ghost,70,100,15,physical,"Inflicts regular damage. User's critical hit rate is one level higher when using this move."
422,thunder-fang,electric,65,95,15,physical,"Inflicts regular damage. Has a 10% chance to paralyze the target and a separate 10% chance to make the target flinch."
423,ice-fang,ice,65,95,15,physical,"Inflicts regular damage. Has a 10% chance to freeze the target and a separate 10% chance to make the target flinch."
424,fire-fang,fire,65,95,15,physical,"Inflicts regular damage. Has a 10% chance to burn the target and a separate 10% chance to make the target flinch."
425,shadow-sneak,ghost,40,100,30,physical,"Inflicts regular damage."
426,mud-bomb,ground,65,85,10,special,"Inflicts regular damage. Has a 30% chance to lower the target's accuracy by one stage."
427,psycho-cut,psychic,70,100,20,physical,"Inflicts regular damage. User's critical hit rate is one level higher when using this move."
428,zen-headbutt,psychic,80,90,15,physical,"Inflicts regular damage. Has a 20% chance to make the target flinch."
429,mirror-shot,steel,65,85,10,special,"Inflicts regular damage. Has a 30% chance to lower the target's accuracy by one stage."
430,flash-cannon,steel,80,100,10,special,"Inflicts regular damage. Has a 10% chance to lower the target's Special Defense by one stage."
431,rock-climb,normal,90,85,20,physical,"Inflicts regular damage. Has a 20% chance to confuse the target."
432,defog,flying,,,15,status,"Lowers the target's evasion by one stage. Clears away fog. Removes the effects of mist, light screen, reflect, safeguard, spikes, stealth rock, and toxic spikes from the target's side of the field. If the target is protected by mist, it will prevent the evasion change, then be removed by this move."
433,trick-room,psychic,,,5,status,"For five turns (including this one), slower Pokémon will act before faster Pokémon. Move priority is not affected. Using this move when its effect is already active will end the effect. Pokémon holding full incense, lagging tail, or quick claw and Pokémon with stall ignore this effect."
434,draco-meteor,dragon,130,90,5,special,"Inflicts regular damage, then lowers the user's Special Attack by two stages."
435,discharge,electric,80,100,15,special,"Inflicts regular damage. Has a 30% chance to paralyze the target."
436,lava-plume,fire,80,100,15,special,"Inflicts regular damage. Has a 30% chance to burn the target."
437,leaf-storm,grass,130,90,5,special,"Inflicts regular damage, then lowers the user's Special Attack by two stages."
438,power-whip,grass,120,85,10,physical,"Inflicts regular damage."
439,rock-wrecker,rock,150,90,5,physical,"Inflicts regular damage. User loses its next turn to "recharge", and cannot attack or switch out during that turn."
440,cross-poison,poison,70,100,20,physical,"Inflicts regular damage. User's critical hit rate is one level higher when using this move. Has a 10% chance to poison the target."
441,gunk-shot,poison,120,80,5,physical,"Inflicts regular damage. Has a 30% chance to poison the target."
442,iron-head,steel,80,100,15,physical,"Inflicts regular damage. Has a 30% chance to make the target flinch."
443,magnet-bomb,steel,60,,20,physical,"Inflicts regular damage. Ignores accuracy and evasion modifiers."
444,stone-edge,rock,100,80,5,physical,"Inflicts regular damage. User's critical hit rate is one level higher when using this move."
445,captivate,normal,,100,20,status,"Lowers the target's Special Attack by two stages. If the user and target are the same gender, or either is genderless, this move will fail."
446,stealth-rock,rock,,,20,status,"Spreads sharp rocks around the opposing field, damaging any Pokémon that enters the field for 1/8 its max HP. This damage is affected by the entering Pokémon's susceptibility to rock moves. rapid spin removes this effect from its user's side of the field."
447,grass-knot,grass,,100,20,special,"Inflicts regular damage. Power increases with the target's weight in kilograms, to a maximum of 120. Target's weight | Power --------------- | ----: Up to 10kg | 20 Up to 25kg | 40 Up to 50kg | 60 Up to 100kg | 80 Up to 200kg | 100 Above 200kg | 120 "
448,chatter,flying,65,100,20,special,"Inflicts regular damage. Has either a 1%, 11%, or 31% chance to confuse the target, based on the volume of the recording made for this move; louder recordings increase the chance of confusion. If the user is not a chatot, this move will not cause confusion. This move cannot be copied by mimic, mirror move, or sketch, nor selected by assist, metronome, or sleep talk."
449,judgment,normal,100,100,10,special,"Inflicts regular damage. If the user is holding a plate or a drive, this move's type is the type corresponding to that item. Note: This effect is technically shared by both techno blast and judgment; however, Techno Blast is only affected by drives, and Judgment is only affected by plates."
450,bug-bite,bug,60,100,20,physical,"Inflicts regular damage. If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately. If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect. If this move is super effective and the target is holding a berry that can reduce this move's damage, it will do so, and will not be stolen."
451,charge-beam,electric,50,90,10,special,"Inflicts regular damage. Has a 70% chance to raise the user's Special Attack by one stage."
452,wood-hammer,grass,120,100,15,physical,"Inflicts regular damage. User takes 1/3 the damage it inflicts in recoil."
453,aqua-jet,water,40,100,20,physical,"Inflicts regular damage."
454,attack-order,bug,90,100,15,physical,"Inflicts regular damage. User's critical hit rate is one level higher when using this move."
455,defend-order,bug,,,10,status,"Raises the user's Defense and Special Defense by one stage."
456,heal-order,bug,,,10,status,"Heals the user for half its max HP."
457,head-smash,rock,150,80,5,physical,"Inflicts regular damage. User takes 1/2 the damage it inflicts in recoil."
458,double-hit,normal,35,90,10,physical,"Inflicts regular damage. Hits twice in one turn."
459,roar-of-time,dragon,150,90,5,special,"Inflicts regular damage. User loses its next turn to "recharge", and cannot attack or switch out during that turn."
460,spacial-rend,dragon,100,95,5,special,"Inflicts regular damage. User's critical hit rate is one level higher when using this move."
461,lunar-dance,psychic,,,10,status,"User faints. Its replacement's HP and PP are fully restored, and any major status effect is removed."
462,crush-grip,normal,,100,5,physical,"Inflicts regular damage. Power directly relates to the target's relative remaining HP, given by `1 + 120 detectar_saltos.sh fetch_moves.sh pokemon_base_stats.csv pokemon_moves.csv updated_pokemon_base_stats.csv current HP / max HP`, to a maximum of 121."
463,magma-storm,fire,100,75,5,special,"Inflicts regular damage. For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn. The user continues to use other moves during this time. If the user leaves the field, this effect ends. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use. rapid spin cancels this effect."
464,dark-void,dark,,50,10,status,"Puts the target to sleep."
465,seed-flare,grass,120,85,5,special,"Inflicts regular damage. Has a 40% chance to lower the target's Special Defense by two stages."
466,ominous-wind,ghost,60,100,5,special,"Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage."
467,shadow-force,ghost,120,100,5,physical,"Inflicts regular damage. User vanishes for one turn, becoming immune to attack, and hits on the second turn. This move ignores the effects of detect and protect. This move cannot be selected by sleep talk."
468,hone-claws,dark,,,15,status,"Raises the user's Attack and accuracy by one stage."
469,wide-guard,rock,,,10,status,"Moves with multiple targets will not hit friendly Pokémon for the remainder of this turn. If the user is last to act this turn, this move will fail. This move cannot be selected by assist or metronome."
470,guard-split,psychic,,,10,status,"Averages the user's unmodified Defense with the target's unmodified Defense; the value becomes the unmodified Defense for both Pokémon. Unmodified Special Defense is averaged the same way."
471,power-split,psychic,,,10,status,"Averages the user's unmodified Attack with the target's unmodified Attack; the value becomes the unmodified Attack for both Pokémon. Unmodified Special Attack is averaged the same way. This effect applies before any other persistent changes to unmodified Attack or Special Attack, such as flower gift during sunny day."
472,wonder-room,psychic,,,10,status,"For five turns (including this one), every Pokémon's Defense and Special Defense are swapped."
473,psyshock,psychic,80,100,10,special,"Inflicts regular damage. Damage calculation always uses the target's Defense, regardless of this move's damage class."
474,venoshock,poison,65,100,10,special,"Inflicts regular damage. If the target is poisoned, this move has double power."
475,autotomize,steel,,,15,status,"Raises the user's Speed by two stages. Halves the user's weight; this effect does not stack."
476,rage-powder,bug,,,20,status,"Until the end of this turn, any moves that opposing Pokémon target solely at the user's ally will instead target the user. If both Pokémon on the same side of the field use this move on the same turn, the Pokémon that uses it last will become the target. This effect takes priority over lightning rod and storm drain. If the user's ally switches out, opposing Pokémon may still hit it with pursuit. This move cannot be selected by assist or metronome."
477,telekinesis,psychic,,,15,status,"For three turns (including this one), moves used against the target have 100% accuracy, but the target is immune to ground damage. Accuracy of one-hit KO moves is exempt from this effect. This effect is removed by gravity. If Gravity is already in effect, this move will fail."
478,magic-room,psychic,,,10,status,"For five turns (including this one), passive effects of held items are ignored, and Pokémon will not use their held items."
479,smack-down,rock,50,100,15,physical,"Inflicts regular damage. Removes the target's immunity to ground-type damage. This effect removes any existing Ground immunity due to levitate, magnet rise, or telekinesis, and causes the target's flying type to be ignored when it takes Ground damage. If the target isn't immune to Ground damage, this move will fail. This move can hit Pokémon under the effect of bounce, fly, or sky drop, and ends the effect of Bounce or Fly."
480,storm-throw,fighting,60,100,10,physical,"Inflicts regular damage. Always scores a critical hit."
481,flame-burst,fire,70,100,15,special,"Inflicts regular damage. If this move successfully hits the target, any Pokémon adjacent to the target are damaged for 1/16 their max HP."
482,sludge-wave,poison,95,100,10,special,"Inflicts regular damage. Has a 10% chance to poison the target."
483,quiver-dance,bug,,,20,status,"Raises the user's Special Attack, Special Defense, and Speed by one stage each."
484,heavy-slam,steel,,100,10,physical,"Inflicts regular damage. The greater the user's weight compared to the target's, the higher power this move has, to a maximum of 120. User's weight | Power -------------------------------- | ----: Up to 2× the target's weight | 40 Up to 3× the target's weight | 60 Up to 4× the target's weight | 80 Up to 5× the target's weight | 100 More than 5× the target's weight | 120 "
485,synchronoise,psychic,120,100,10,special,"Inflicts regular damage. Only Pokémon that share a type with the user will take damage from this move."
486,electro-ball,electric,,100,10,special,"Inflicts regular damage. The greater the user's Speed compared to the target's, the higher power this move has, to a maximum of 150. User's Speed | Power -------------------------------- | ----: Up to 2× the target's Speed | 60 Up to 3× the target's Speed | 80 Up to 4× the target's Speed | 120 More than 4× the target's Speed | 150 "
487,soak,water,,100,20,status,"Changes the target to pure water-type until it leaves the field. If the target has multitype, this move will fail."
488,flame-charge,fire,50,100,20,physical,"Inflicts regular damage. Raises the user's Speed by one stage."
489,coil,poison,,,20,status,"Raises the user's Attack, Defense, and accuracy by one stage each."
490,low-sweep,fighting,65,100,20,physical,"Lowers the target's Speed by one stage."
491,acid-spray,poison,40,100,20,special,"Inflicts regular damage. Lowers the target's Special Defense by two stages."
492,foul-play,dark,95,100,15,physical,"Inflicts regular damage. Damage is calculated using the target's attacking stat rather than the user's."
493,simple-beam,normal,,100,15,status,"Changes the target's ability to simple."
494,entrainment,normal,,100,15,status,"Changes the target's ability to match the user's. This effect ends when the target leaves battle."
495,after-you,normal,,,15,status,"The target will act next this turn, regardless of Speed or move priority. If the target has already acted this turn, this move will fail."
496,round,normal,60,100,15,special,"Inflicts regular damage. If round has already been used this turn, this move's power is doubled. After this move is used, any other Pokémon using it this turn will immediately do so (in the order they would otherwise act), regardless of Speed or priority. Pokémon using other moves will then continue to act as usual."
497,echoed-voice,normal,40,100,15,special,"Inflicts regular damage. If any friendly Pokémon used this move earlier this turn or on the previous turn, that use's power is added to this move's power, to a maximum of 200."
498,chip-away,normal,70,100,20,physical,"Inflicts regular damage. Damage calculation ignores the target's stat modifiers, including evasion."
499,clear-smog,poison,50,,15,special,"Inflicts regular damage. All of the target's stat modifiers are reset to zero."
500,stored-power,psychic,20,100,10,special,"Inflicts regular damage. Power is increased by 100% its original value for every stage any of the user's stats have been raised. Accuracy, evasion, and lowered stats do not affect this move's power. For a Pokémon with all five stats modified to +6, this move's power is 31×."
501,quick-guard,fighting,,,15,status,"Moves with priority greater than 0 will not hit friendly Pokémon for the remainder of this turn. If the user is last to act this turn, this move will fail. This move cannot be selected by assist or metronome."
502,ally-switch,psychic,,,15,status,"User switches position on the field with the friendly Pokémon opposite it. If the user is in the middle position in a triple battle, or there are no other friendly Pokémon, this move will fail."
503,scald,water,80,100,15,special,"Inflicts regular damage. Has a 30% chance to burn the target."
